vaccination_date,race,first_dose,second_dose,third_dose,fourth_dose
2020-12-15,AMERICAN INDIAN OR ALASKAN NATIVE,1,1,0,0
2020-12-15,ASIAN,7,0,0,0
2020-12-15,BLACK OR AFRICAN AMERICAN,21,0,0,0
2020-12-15,Other Race,9,0,0,0
2020-12-15,WHITE,66,3,0,0
2020-12-16,AMERICAN INDIAN OR ALASKAN NATIVE,3,0,0,0
2020-12-16,ASIAN,85,2,0,0
2020-12-16,BLACK OR AFRICAN AMERICAN,154,1,0,0
2020-12-16,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,2,0,0,0
2020-12-16,Other Race,67,1,0,0
2020-12-16,WHITE,615,10,0,0
2020-12-17,AMERICAN INDIAN OR ALASKAN NATIVE,8,1,0,0
2020-12-17,ASIAN,171,1,0,0
2020-12-17,BLACK OR AFRICAN AMERICAN,275,3,0,0
2020-12-17,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,6,1,0,0
2020-12-17,Other Race,120,1,0,0
2020-12-17,WHITE,1080,10,0,0
2020-12-18,AMERICAN INDIAN OR ALASKAN NATIVE,31,0,0,0
2020-12-18,ASIAN,338,1,0,0
2020-12-18,BLACK OR AFRICAN AMERICAN,515,3,0,0
2020-12-18,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,8,0,0,0
2020-12-18,Other Race,236,0,0,0
2020-12-18,WHITE,2462,21,0,0
2020-12-19,AMERICAN INDIAN OR ALASKAN NATIVE,12,0,0,0
2020-12-19,ASIAN,147,0,0,0
2020-12-19,BLACK OR AFRICAN AMERICAN,185,0,0,0
2020-12-19,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,6,0,0,0
2020-12-19,Other Race,79,1,0,0
2020-12-19,WHITE,745,11,0,0
2020-12-20,AMERICAN INDIAN OR ALASKAN NATIVE,8,1,0,0
2020-12-20,ASIAN,65,3,0,0
2020-12-20,BLACK OR AFRICAN AMERICAN,95,4,0,0
2020-12-20,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,2,0,0,0
2020-12-20,Other Race,53,2,0,0
2020-12-20,WHITE,307,11,0,0
2020-12-21,AMERICAN INDIAN OR ALASKAN NATIVE,39,0,0,0
2020-12-21,ASIAN,501,3,0,0
2020-12-21,BLACK OR AFRICAN AMERICAN,702,10,0,0
2020-12-21,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,13,1,0,0
2020-12-21,Other Race,264,7,0,0
2020-12-21,WHITE,2848,28,0,0
2020-12-22,AMERICAN INDIAN OR ALASKAN NATIVE,70,0,0,0
2020-12-22,ASIAN,658,3,0,0
2020-12-22,BLACK OR AFRICAN AMERICAN,1474,14,0,0
2020-12-22,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,17,0,0,0
2020-12-22,Other Race,392,3,0,0
2020-12-22,WHITE,4262,29,0,0
2020-12-23,AMERICAN INDIAN OR ALASKAN NATIVE,60,1,0,0
2020-12-23,ASIAN,673,12,0,0
2020-12-23,BLACK OR AFRICAN AMERICAN,1321,8,0,0
2020-12-23,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,21,0,0,0
2020-12-23,Other Race,367,1,0,0
2020-12-23,WHITE,4126,43,0,0
2020-12-24,AMERICAN INDIAN OR ALASKAN NATIVE,37,0,0,0
2020-12-24,ASIAN,450,4,0,0
2020-12-24,BLACK OR AFRICAN AMERICAN,760,9,0,0
2020-12-24,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,9,0,0,0
2020-12-24,Other Race,191,1,0,0
2020-12-24,WHITE,1910,22,0,0
2020-12-25,AMERICAN INDIAN OR ALASKAN NATIVE,7,0,0,0
2020-12-25,ASIAN,57,0,0,0
2020-12-25,BLACK OR AFRICAN AMERICAN,326,4,0,0
2020-12-25,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,2,0,0,0
2020-12-25,Other Race,55,0,0,0
2020-12-25,WHITE,549,1,0,0
2020-12-26,AMERICAN INDIAN OR ALASKAN NATIVE,16,0,0,0
2020-12-26,ASIAN,204,1,0,0
2020-12-26,BLACK OR AFRICAN AMERICAN,786,2,0,0
2020-12-26,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,5,0,0,0
2020-12-26,Other Race,100,0,0,0
2020-12-26,WHITE,1022,12,0,0
2020-12-27,AMERICAN INDIAN OR ALASKAN NATIVE,9,0,0,0
2020-12-27,ASIAN,138,2,0,0
2020-12-27,BLACK OR AFRICAN AMERICAN,434,2,0,0
2020-12-27,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,1,0,0,0
2020-12-27,Other Race,87,0,0,0
2020-12-27,WHITE,1153,16,0,0
2020-12-28,AMERICAN INDIAN OR ALASKAN NATIVE,94,2,0,0
2020-12-28,ASIAN,983,9,0,0
2020-12-28,BLACK OR AFRICAN AMERICAN,1971,11,0,0
2020-12-28,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,21,2,0,0
2020-12-28,Other Race,500,1,0,0
2020-12-28,WHITE,6357,59,1,0
2020-12-29,AMERICAN INDIAN OR ALASKAN NATIVE,62,2,0,0
2020-12-29,ASIAN,969,8,0,0
2020-12-29,BLACK OR AFRICAN AMERICAN,2572,20,0,0
2020-12-29,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,24,0,0,0
2020-12-29,Other Race,562,4,0,0
2020-12-29,WHITE,7701,59,0,0
2020-12-30,AMERICAN INDIAN OR ALASKAN NATIVE,91,0,0,0
2020-12-30,ASIAN,1211,14,1,0
2020-12-30,BLACK OR AFRICAN AMERICAN,2207,14,0,0
2020-12-30,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,30,0,0,0
2020-12-30,Other Race,650,3,0,0
2020-12-30,WHITE,9309,97,0,0
2020-12-31,AMERICAN INDIAN OR ALASKAN NATIVE,61,1,0,0
2020-12-31,ASIAN,792,4,0,0
2020-12-31,BLACK OR AFRICAN AMERICAN,1442,11,0,0
2020-12-31,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,25,1,0,0
2020-12-31,Other Race,400,4,0,0
2020-12-31,WHITE,5437,56,0,0
2021-01-01,AMERICAN INDIAN OR ALASKAN NATIVE,17,2,0,0
2021-01-01,ASIAN,305,16,0,0
2021-01-01,BLACK OR AFRICAN AMERICAN,866,41,3,0
2021-01-01,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,4,1,0,0
2021-01-01,Other Race,212,11,1,0
2021-01-01,WHITE,3091,131,10,0
2021-01-02,AMERICAN INDIAN OR ALASKAN NATIVE,24,0,0,0
2021-01-02,ASIAN,322,6,0,0
2021-01-02,BLACK OR AFRICAN AMERICAN,974,9,0,0
2021-01-02,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,13,1,0,0
2021-01-02,Other Race,270,5,1,0
2021-01-02,WHITE,2122,37,0,0
2021-01-03,AMERICAN INDIAN OR ALASKAN NATIVE,19,0,0,0
2021-01-03,ASIAN,297,16,0,0
2021-01-03,BLACK OR AFRICAN AMERICAN,1039,12,0,0
2021-01-03,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,15,1,0,0
2021-01-03,Other Race,258,9,0,0
2021-01-03,WHITE,1998,77,0,0
2021-01-04,AMERICAN INDIAN OR ALASKAN NATIVE,95,4,0,0
2021-01-04,ASIAN,1249,34,0,0
2021-01-04,BLACK OR AFRICAN AMERICAN,2959,64,2,0
2021-01-04,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,34,2,0,0
2021-01-04,Other Race,829,31,0,0
2021-01-04,WHITE,8979,314,1,0
2021-01-05,AMERICAN INDIAN OR ALASKAN NATIVE,75,13,0,0
2021-01-05,ASIAN,1010,94,0,0
2021-01-05,BLACK OR AFRICAN AMERICAN,2728,155,0,0
2021-01-05,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,35,5,0,0
2021-01-05,Other Race,641,67,0,0
2021-01-05,WHITE,8839,491,1,0
2021-01-06,AMERICAN INDIAN OR ALASKAN NATIVE,87,7,0,0
2021-01-06,ASIAN,1146,145,1,0
2021-01-06,BLACK OR AFRICAN AMERICAN,3275,223,0,0
2021-01-06,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,33,3,0,0
2021-01-06,Other Race,725,89,0,0
2021-01-06,WHITE,10737,808,1,0
2021-01-07,AMERICAN INDIAN OR ALASKAN NATIVE,103,14,0,0
2021-01-07,ASIAN,1373,240,0,0
2021-01-07,BLACK OR AFRICAN AMERICAN,3036,391,0,0
2021-01-07,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,45,8,0,0
2021-01-07,Other Race,911,161,0,0
2021-01-07,WHITE,10331,1469,0,0
2021-01-08,AMERICAN INDIAN OR ALASKAN NATIVE,102,25,0,0
2021-01-08,ASIAN,1368,332,0,0
2021-01-08,BLACK OR AFRICAN AMERICAN,3178,465,0,0
2021-01-08,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,38,6,0,0
2021-01-08,Other Race,923,216,0,0
2021-01-08,WHITE,11155,2332,1,0
2021-01-09,AMERICAN INDIAN OR ALASKAN NATIVE,42,8,0,0
2021-01-09,ASIAN,558,148,0,0
2021-01-09,BLACK OR AFRICAN AMERICAN,1367,197,0,0
2021-01-09,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,9,3,0,0
2021-01-09,Other Race,404,80,0,0
2021-01-09,WHITE,3696,756,1,0
2021-01-10,AMERICAN INDIAN OR ALASKAN NATIVE,25,7,0,0
2021-01-10,ASIAN,267,75,0,0
2021-01-10,BLACK OR AFRICAN AMERICAN,1237,61,0,0
2021-01-10,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,6,2,0,0
2021-01-10,Other Race,292,32,0,0
2021-01-10,WHITE,1701,299,0,0
2021-01-11,AMERICAN INDIAN OR ALASKAN NATIVE,76,44,0,0
2021-01-11,ASIAN,951,473,0,0
2021-01-11,BLACK OR AFRICAN AMERICAN,2814,701,0,0
2021-01-11,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,25,7,0,0
2021-01-11,Other Race,604,263,0,0
2021-01-11,WHITE,9714,2546,2,0
